ticker,cik,form,filingDate,accessionNumber,doc_type,event_type,confidence,snippet,doc_url
BCRX,0000882796,8-K,2026-01-23,0001140361-26-002200,EX-99.1,CLINICAL_HOLD,0.9,"y result in delay of planned clinical trials, may not review regulatory filings on our expected timeline, may impose certain restrictions, warnings, or other requirements on products and product candidates, may impose a clinical hold with respect to product candidates, or may withhold, delay or withdraw market approval for products and product candidates; product candidates, if approved, may not achieve market acceptance; BioCryst&#8217;s ability to",https://www.sec.gov/Archives/edgar/data/882796/0001140361-26-002200.txt
BIOA,0001709941,8-K,2026-01-22,0001193125-26-019536,EX-99.1,TOPLINE,0.7000000000000001,"roduct candidate, BGE-102, is a potent, orally available, brain-penetrant small-molecule NLRP3 inhibitor being developed for cardiovascular risk and retinal diseases. A Phase 1 SAD/MAD trial of BGE-102 is underway, with topline data including additional MAD cohorts anticipated in 1H26. The Company is also developing long-acting injectable and oral small molecule APJ agonists for obesity. BioAge&#x2019;s additional preclinical programs, which l",https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-019536.txt
BIOA,0001709941,8-K,2026-01-20,0001193125-26-016046,EX-99.1,TOPLINE,0.7000000000000001,"VEGF inhibitor. The goal of the POC trial will be to demonstrate target engagement and pharmacodynamics (PD) for BGE-102 in the eye to motivate future clinical development in retinal diseases driven by inflammation. The primary endpoint will be percent change in intraocular IL-6, with additional exploratory endpoints including best-corrected visual &#160; acuity (BCVA), central subfield thickness (CST) and intraocular and plasma biomarkers. Results are",https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-016046.txt
BIOA,0001709941,8-K,2026-01-20,0001193125-26-016046,EX-99.1,TOPLINE,0.7000000000000001,"roduct candidate, BGE-102, is a potent, orally available, brain-penetrant small-molecule NLRP3 inhibitor being developed for cardiovascular risk and retinal diseases. A Phase 1 SAD/MAD trial of BGE-102 is underway, with topline data including additional MAD cohorts anticipated in 1H26. The Company is also developing long-acting injectable and oral small molecule APJ agonists for obesity. BioAge&#x2019;s &#160; additional preclinical programs, ",https://www.sec.gov/Archives/edgar/data/1709941/0001193125-26-016046.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001,"burden &nbsp; &nbsp; &#149; &nbsp; Relacorilant&#8217;s New Drug Application (NDA) is under review by the U.S. Food and Drug Administration (FDA) as a treatment for patients with platinum-resistant ovarian cancer with a Prescription Drug User Fee Act (PDUFA) target action date of July&nbsp;11, 2026 &nbsp; &nbsp; &#149; &nbsp; Relacorilant&#8217;s Marketing Authorization Application (MAA) for patients with platinum-resistant ovarian cancer is also under review by the",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001,"p; Relacorilant&#8217;s New Drug Application (NDA) is under review by the U.S. Food and Drug Administration (FDA) as a treatment for patients with platinum-resistant ovarian cancer with a Prescription Drug User Fee Act (PDUFA) target action date of July&nbsp;11, 2026 &nbsp; &nbsp; &#149; &nbsp; Relacorilant&#8217;s Marketing Authorization Application (MAA) for patients with platinum-resistant ovarian cancer is also under review by the&nbsp;E",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001,"t&#8217;s New Drug Application (NDA) is under review by the U.S. Food and Drug Administration (FDA) as a treatment for patients with platinum-resistant ovarian cancer with a Prescription Drug User Fee Act (PDUFA) target action date of July&nbsp;11, 2026 &nbsp; &nbsp; &#149; &nbsp; Relacorilant&#8217;s Marketing Authorization Application (MAA) for patients with platinum-resistant ovarian cancer is also under review by the&nbsp;European Medicines Ag",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001," other patents. It has been designated an orphan drug by the FDA and the&nbsp;European Commission&nbsp;(EC) for the treatment of hypercortisolism and by the EC for the treatment of ovarian cancer. The FDA has assigned a Prescription Drug User Fee Act (PDUFA) date of&nbsp;July 11, 2026&nbsp;for relacorilant as a treatment for patients with platinum-resistant ovarian cancer. Corcept also submitted a Marketing Authorization Application (MAA) to the&nbsp;European Medici",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,PDUFA,0.8500000000000001,"gnated an orphan drug by the FDA and the&nbsp;European Commission&nbsp;(EC) for the treatment of hypercortisolism and by the EC for the treatment of ovarian cancer. The FDA has assigned a Prescription Drug User Fee Act (PDUFA) date of&nbsp;July 11, 2026&nbsp;for relacorilant as a treatment for patients with platinum-resistant ovarian cancer. Corcept also submitted a Marketing Authorization Application (MAA) to the&nbsp;European Medicines Age",https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
CORT,0001088856,8-K,2026-01-22,0001193125-26-018704,EX-99.1,TOPLINE,0.7000000000000001,EX-99.1 Exhibit 99.1 &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; CONTACT: Investor inquiries: ir@corcept.com Media inquiries: communications@corcept.com www.corcept.com Overall Survival Primary Endpoint Met in Corcept&#8217;s Pivotal Phase 3 ROSELLA Trial of Relacorilant in Patients with Platinum-Resistant Ovarian Cancer &nbsp; &nbsp; &#149; &nbsp; Data demonstrate a 35&nbsp;percent reduction in the risk of death &nbsp,https://www.sec.gov/Archives/edgar/data/1088856/0001193125-26-018704.txt
